customer_id,age,gender_cd,region_size,foreign_flg,entrepreneur_flg,auto_flg,traveler_flg,partnership_flg,child_amt,realty_type,segment_cd,bundle_nm,confirmed_income,predicted_income,product_cd,functional_cd,finish_dttm,state_talk_time_sec,wo_hit_status_result_desc,wo_hit_status_reason_desc,employee_id,emp_age,emp_gender_cd,emp_children_cnt,emp_work_months_cnt,emp_citizenship_country_cd,emp_marital_status_cd,result_calling,product,age_group,age_difference,functional,with_pro
348648289,44.0,1.0,село,0.0,0.0,0.0,0.0,1.0,1.0,1.0,r_01 (6),Pro,,,Cash Loan,Upsell,2023-10-25 20:00:00,151.0,"Дозвон, Отказ",Другое,7004.0,36,W,,2,RUS,,0,Кредит,36-50,8.0,Предложения и продажи,1
345496995,23.0,0.0,город,0.0,0.0,1.0,0.0,1.0,0.0,0.0,t_05 (19),Без подписки,,,MVNO,Afterfilling,2023-06-16 07:00:00,68.0,"Дозвон, Успешно",Назначена встреча,80760.0,52,W,,6,,,1,Другое,14-25,29.0,Другое,0
64946855,31.0,1.0,город,0.0,0.0,0.0,0.0,1.0,0.0,1.0,t_07 (29),Без подписки,,15362.87,Cash Loan,Preapprove,2023-11-24 07:00:00,36.0,"Дозвон, Отказ",Отказ прослушать предложение,184241.0,43,W,,6,RUS,UNM,0,Кредит,26-35,12.0,Предложения и продажи,0
516320897,34.0,0.0,город,0.0,0.0,0.0,0.0,1.0,0.0,0.0,t_10 (40),Без подписки,,13233.3,Mortgage Insurance,Cold,2024-08-17 12:00:00,38.0,"Дозвон, Отказ",Страхуется в своей СК,106508.0,74,M,,1,RUS,,0,Страхование,26-35,40.0,Предложения и продажи,0
148619460,67.0,0.0,город,0.0,0.0,0.0,0.0,1.0,0.0,1.0,t_08 (30),Без подписки,,,Credit Cards,Preapprove,2022-07-27 14:00:00,24.0,"Дозвон, Отказ",Отказ прослушать предложение,104002.0,46,W,,10,,,0,Кредитная карта,65+,21.0,Предложения и продажи,0
67061355,41.0,0.0,город,0.0,1.0,1.0,0.0,1.0,1.0,1.0,u_04 (14),Без подписки,,,Cash Loan,Upsell,2023-08-28 10:00:00,22.0,"Дозвон, Отказ",Другое,209308.0,20,W,,7,,,0,Кредит,36-50,21.0,Предложения и продажи,0
299782696,37.0,1.0,город,0.0,0.0,1.0,0.0,1.0,1.0,1.0,u_01 (3),Без подписки,,,MVNO,Afterfilling,2022-11-08 12:00:00,20.0,"Дозвон, Отказ",Другое,14829.0,58,W,,11,,,0,Другое,36-50,21.0,Другое,0
134682688,36.0,0.0,город,0.0,0.0,0.0,0.0,1.0,0.0,1.0,m_07 (18),Pro,,,Investment,Reutilization,2022-11-22 15:00:00,28.0,"Дозвон, Отказ",Отказ от диалога,169086.0,32,M,,4,,,0,Инвестиции,36-50,4.0,Предложения и продажи,1
383906888,18.0,1.0,город,0.0,0.0,0.0,0.0,0.0,0.0,1.0,t_09 (36),Без подписки,,,Credit Cards,Utilization,2023-05-29 10:00:00,31.0,"Дозвон, Отказ",Отказ от использования КК,40894.0,41,W,,6,,,0,Кредитная карта,14-25,23.0,Предложения и продажи,0
158045014,38.0,1.0,город,0.0,0.0,1.0,0.0,1.0,0.0,1.0,u_04 (14),Без подписки,,,Investment,Utilization,2023-08-08 09:00:00,45.0,"Дозвон, Отказ",Не звонить,180298.0,23,M,,6,RUS,,0,Инвестиции,36-50,15.0,Предложения и продажи,0
